iter	Passed	Remaining
0	1	151
1	2	141
2	4	130
3	5	123
4	5	108
5	6	108
6	7	101
7	8	99
8	9	98
9	10	97
10	12	97
11	13	96
12	14	94
13	14	90
14	15	89
15	16	88
16	17	87
17	19	86
18	20	85
19	21	84
20	21	81
21	22	80
22	23	78
23	24	77
24	25	77
25	26	76
26	28	75
27	29	74
28	30	74
29	31	73
30	32	72
31	32	70
32	34	69
33	35	67
34	36	67
35	37	67
36	38	66
37	39	65
38	40	63
39	41	62
40	42	61
41	43	60
42	44	59
43	45	58
44	46	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	57	48
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	33
69	74	32
70	75	30
71	76	29
72	77	28
73	79	27
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	94	14
87	95	12
88	96	11
89	97	10
90	98	9
91	99	8
92	100	7
93	101	6
94	102	5
95	103	4
96	105	3
97	106	2
98	107	1
99	108	0
